Date,Close
14-3-17,2.3513
14-3-18,2.3516
14-3-19,2.3333
14-3-20,2.3414
14-3-21,2.3239
14-3-24,2.3242
14-3-25,2.3118
14-3-26,2.3113
14-3-27,2.2824
14-3-28,2.2597
14-3-31,2.2624
14-4-1,2.2614
14-4-2,2.2705
14-4-3,2.2805
14-4-4,2.2414
14-4-7,2.232
14-4-8,2.1968
14-4-9,2.2105
14-4-10,2.1982
14-4-11,2.2053
14-4-14,2.209
14-4-15,2.2251
14-4-16,2.2336
14-4-17,2.2476
14-4-22,2.2443
14-4-23,2.242
14-4-24,2.2223
14-4-25,2.2319
14-4-28,2.2364
14-4-29,2.2193
14-4-30,2.2354
14-5-2,2.2215
14-5-5,2.228
14-5-6,2.2316
14-5-7,2.2276
14-5-8,2.2101
14-5-9,2.2186
14-5-12,2.2158
14-5-13,2.2095
14-5-14,2.2123
14-5-15,2.216
14-5-16,2.2104
14-5-19,2.2105
14-5-20,2.215
14-5-21,2.2105
14-5-22,2.2125
14-5-23,2.2181
14-5-26,2.2203
14-5-27,2.2348
14-5-28,2.2399
14-5-29,2.2245
14-5-30,2.2384
14-6-2,2.2634
14-6-3,2.2648
14-6-4,2.2796
14-6-5,2.2689
14-6-6,2.2439
14-6-9,2.233
14-6-10,2.229
14-6-11,2.2301
14-6-12,2.2298
14-6-13,2.2341
14-6-16,2.2307
14-6-17,2.248
14-6-18,2.2528
14-6-20,2.2374
14-6-23,2.2189
14-6-24,2.2211
14-6-25,2.2046
14-6-26,2.2083
14-6-27,2.1969
14-6-30,2.2019
14-7-1,2.2048
14-7-2,2.2127
14-7-3,2.2275
14-7-4,2.2143
14-7-7,2.2195
14-7-8,2.2144
14-7-9,2.2128
14-7-10,2.2231
14-7-11,2.2222
14-7-14,2.217
14-7-15,2.2189
14-7-16,2.2187
14-7-17,2.2397
14-7-18,2.2356
14-7-21,2.2232
14-7-22,2.2123
14-7-23,2.2196
14-7-24,2.2198
14-7-25,2.2287
14-7-28,2.2296
14-7-29,2.2272
14-7-30,2.2441
14-7-31,2.2668
14-8-1,2.26
14-8-4,2.2571
14-8-5,2.275
14-8-6,2.2784
14-8-7,2.2796
14-8-8,2.298
14-8-11,2.2773
14-8-12,2.2764
14-8-13,2.2686
14-8-14,2.2697
14-8-15,2.2684
14-8-18,2.2589
14-8-19,2.2581
14-8-20,2.2544
14-8-21,2.2576
14-8-22,2.2772
14-8-25,2.2802
14-8-26,2.2742
14-8-27,2.2585
14-8-28,2.2493
14-8-29,2.239
14-9-1,2.2358
14-9-2,2.2515
14-9-3,2.2313
14-9-4,2.235
14-9-5,2.241
14-9-8,2.2485
14-9-9,2.2807
14-9-10,2.2961
14-9-11,2.2874
14-9-12,2.3244
14-9-15,2.3395
14-9-16,2.3345
14-9-17,2.3378
14-9-18,2.3661
14-9-19,2.365
14-9-22,2.3864
14-9-23,2.402
14-9-24,2.4064
14-9-25,2.4078
14-9-26,2.4304
14-9-29,2.4516
14-9-30,2.4504
14-10-1,2.4617
14-10-2,2.4779
14-10-3,2.4926
14-10-6,2.4092
14-10-7,2.4032
14-10-8,2.4065
14-10-9,2.3908
14-10-10,2.4096
14-10-13,2.3917
14-10-14,2.3985
14-10-15,2.431
14-10-16,2.4763
14-10-17,2.447
14-10-20,2.4548
14-10-21,2.4791
14-10-22,2.4775
14-10-23,2.4998
14-10-24,2.4799
14-10-27,2.5335
14-10-28,2.4863
14-10-29,2.434
14-10-30,2.4113
14-10-31,2.4436
14-11-3,2.4833
14-11-4,2.5189
14-11-5,2.5162
14-11-6,2.5319
14-11-7,2.5715
14-11-10,2.5384
14-11-11,2.5638
14-11-12,2.5544
14-11-13,2.5719
14-11-14,2.6129
14-11-17,2.6029
14-11-18,2.5961
14-11-19,2.5843
14-11-20,2.544
14-11-21,2.5384
14-11-24,2.5276
14-11-25,2.523
14-11-26,2.5097
14-11-27,2.5059
14-11-28,2.5595
14-12-1,2.5618
14-12-2,2.5658
14-12-3,2.5601
14-12-4,2.5791
14-12-5,2.5882
14-12-8,2.5917
14-12-9,2.601
14-12-10,2.5925
14-12-11,2.6265
14-12-12,2.6552
14-12-15,2.6711
14-12-16,2.7397
14-12-17,2.724
14-12-18,2.6669
14-12-19,2.648
14-12-22,2.652
14-12-23,2.6769
14-12-24,2.6822
14-12-26,2.6806
14-12-29,2.6777
14-12-30,2.6556
14-12-31,2.6556
15-1-2,2.6923
15-1-5,2.7101
15-1-6,2.7016
15-1-7,2.6801
15-1-8,2.6913
15-1-9,2.6577
15-1-12,2.6569
15-1-13,2.6479
15-1-14,2.6216
15-1-15,2.6116
15-1-16,2.6187
15-1-19,2.6237
15-1-20,2.6241
15-1-21,2.5961
15-1-22,2.5748
15-1-23,2.585
15-1-26,2.596
15-1-27,2.5803
15-1-28,2.5791
15-1-29,2.5954
15-1-30,2.6617
15-2-2,2.6888
15-2-3,2.7053
15-2-4,2.7142
15-2-5,2.738
15-2-6,2.7635
15-2-9,2.7867
15-2-10,2.8069
15-2-11,2.857
15-2-12,2.8619
15-2-13,2.8385
15-2-18,2.8424
15-2-19,2.8539
15-2-20,2.8694
15-2-23,2.8805
15-2-24,2.8643
15-2-25,2.864
15-2-26,2.8721
15-2-27,2.8777
15-3-2,2.8649
15-3-3,2.9045
15-3-4,2.9798
15-3-5,2.9925
15-3-6,3.036
15-3-9,3.1012
15-3-10,3.1293
15-3-11,3.1156
15-3-12,3.1165
15-3-13,3.2258
15-3-16,3.2251
15-3-17,3.2677
15-3-18,3.2512
15-3-19,3.2635
15-3-20,3.2417
15-3-23,3.1793
15-3-24,3.1304
15-3-25,3.1469
15-3-26,3.1909
15-3-27,3.2253
15-3-30,3.2595
15-3-31,3.2074
15-4-1,3.1549
15-4-2,3.1486
15-4-6,3.092
15-4-7,3.1225
15-4-8,3.0828
15-4-9,3.0459
15-4-10,3.0789
15-4-13,3.1005
15-4-14,3.0874
15-4-15,3.0675
15-4-16,3.0243
15-4-17,3.0538
15-4-20,3.0467
15-4-22,3.018
15-4-23,3.0077
15-4-24,2.9739
15-4-27,2.9229
15-4-28,2.8937
15-4-29,2.9369
15-4-30,2.993
15-5-4,3.0748
15-5-5,3.0619
15-5-6,3.0414
15-5-7,3.0415
15-5-8,2.9959
15-5-11,3.0169
15-5-12,3.0382
15-5-13,3.0096
15-5-14,3.0026
15-5-15,2.9887
15-5-18,3.0139
15-5-19,3.0278
15-5-20,3.034
15-5-21,3.0289
15-5-22,3.0647
15-5-25,3.1206
15-5-26,3.1345
15-5-27,3.1734
15-5-28,3.1741
15-5-29,3.1781
15-6-1,3.1783
15-6-2,3.1437
15-6-3,3.1178
15-6-5,3.1677
15-6-8,3.1184
15-6-9,3.0985
15-6-10,3.0837
15-6-11,3.1508
15-6-12,3.1101
15-6-15,3.103
15-6-16,3.1076
15-6-17,3.0983
15-6-18,3.0466
15-6-19,3.0782
15-6-22,3.0751
15-6-23,3.1036
15-6-24,3.0846
15-6-25,3.1009
15-6-26,3.1265
15-6-29,3.1383
15-6-30,3.1019
15-7-1,3.1185
15-7-2,3.1166
15-7-3,3.1265
15-7-6,3.1425
15-7-7,3.1803
15-7-8,3.2275
15-7-9,3.2152
15-7-10,3.1891
15-7-13,3.1588
15-7-14,3.1224
15-7-15,3.1526
15-7-16,3.1369
15-7-17,3.1826
15-7-20,3.2143
15-7-21,3.1807
15-7-22,3.2088
15-7-23,3.2844
15-7-24,3.3248
15-7-27,3.3551
15-7-28,3.3808
15-7-29,3.3413
15-7-30,3.3646
15-7-31,3.3934
15-8-3,3.4419
15-8-4,3.4669
15-8-5,3.4844
15-8-6,3.5341
15-8-7,3.5175
15-8-10,3.4903
15-8-11,3.4919
15-8-12,3.482
15-8-13,3.5068
15-8-14,3.4755
15-8-17,3.4739
15-8-18,3.4805
15-8-19,3.4843
15-8-20,3.4745
15-8-21,3.489
15-8-24,3.5488
15-8-25,3.5339
15-8-26,3.632
15-8-27,3.5549
15-8-28,3.5784
15-8-31,3.6461
15-9-1,3.6719
15-9-2,3.7307
15-9-3,3.7753
15-9-4,3.798
15-9-8,3.8021
15-9-9,3.7864
15-9-10,3.8691
15-9-11,3.8692
15-9-14,3.8647
15-9-15,3.8593
15-9-16,3.8361
15-9-17,3.8915
15-9-18,3.9015
15-9-21,3.9815
15-9-22,4.0419
15-9-23,4.1034
15-9-24,4.1942
15-9-25,3.9472
15-9-28,4.0093
15-9-29,4.1165
15-9-30,3.9722
15-10-1,3.9788
15-10-2,4.0003
15-10-5,3.9135
15-10-6,3.8561
15-10-7,3.8053
15-10-8,3.8511
15-10-9,3.738
15-10-13,3.8243
15-10-14,3.8501
15-10-15,3.8337
15-10-16,3.8432
15-10-19,3.9009
15-10-20,3.865
15-10-21,3.938
15-10-22,3.9354
15-10-23,3.8982
15-10-26,3.8575
15-10-27,3.9108
15-10-28,3.8791
15-10-29,3.9321
15-10-30,3.8582
15-11-3,3.812
15-11-4,3.768
15-11-5,3.7887
15-11-6,3.8053
15-11-9,3.7922
15-11-10,3.7975
15-11-11,3.732
15-11-12,3.799
15-11-13,3.8016
15-11-16,3.833
15-11-17,3.8045
15-11-18,3.7915
15-11-19,3.7435
15-11-20,3.7
15-11-23,3.7224
15-11-24,3.7075
15-11-25,3.7682
15-11-26,3.76
15-11-27,3.7392
15-11-30,3.8499
15-12-1,3.8739
15-12-2,3.8539
15-12-3,3.7964
15-12-4,3.7569
15-12-7,3.747
15-12-8,3.7915
15-12-9,3.7573
15-12-10,3.7679
15-12-11,3.8541
15-12-14,3.9017
15-12-15,3.8697
15-12-16,3.9351
15-12-17,3.8923
15-12-18,3.9056
15-12-21,3.9825
15-12-22,3.9764
15-12-23,3.9626
15-12-24,3.9511
15-12-28,3.918
15-12-29,3.8486
15-12-30,3.9042
15-12-31,3.9042
16-1-4,4.038
16-1-5,4.0108
16-1-6,4.0297
16-1-7,4.0469
16-1-8,4.0244
16-1-11,4.0147
16-1-12,4.0293
16-1-13,3.9857
16-1-14,4.0217
16-1-15,4.0396
16-1-18,4.0358
16-1-19,4.0297
16-1-20,4.0855
16-1-21,4.1552
16-1-22,4.1226
16-1-25,4.0991
16-1-26,4.0961
16-1-27,4.0441
16-1-28,4.0832
16-1-29,4.0422
16-2-1,3.9979
16-2-2,3.9913
16-2-3,3.9552
16-2-4,3.8646
16-2-5,3.8969
16-2-10,3.9406
16-2-11,3.9636
16-2-12,3.9884
16-2-15,3.9879
16-2-16,4.0207
16-2-17,4.0312
16-2-18,4.0084
16-2-19,4.0486
16-2-22,3.9612
16-2-23,3.9678
16-2-24,3.9894
16-2-25,3.9394
16-2-26,3.9571
16-2-29,3.979
16-3-1,3.9907
16-3-2,3.911
16-3-3,3.8498
16-3-4,3.7182
