secretaria,1,2,3,N
Transportes,2371103400.83,2256103277.52,2136494212,2490712466.70
Assistência e Desenvolvimento Social,149156882.12,126670001.96,113232679.2,162594204.86
Educação,8874853703.24,7300289072.88,6175715756,9999427020.29
Negócios Jurídicos,176154029.03,156585919.55,118216489.6,214523459.00
Segurança Urbana,458242328.06,320581326.65,305519800.7,473303854.03
Licenciamento,55804156.34,45278434.52,30676397.86,70406193.00
Cultura,336127655.25,252639222.77,182291236.7,406475641.37
Serviços,50484347.22,33387056.10,24396136.72,59475266.60
Desenvolvimento Urbano,1188166230.43,749199852.28,600603055.9,1336763026.84
Finanças e Desenvolvimento Econômico ,331471357.43,234105784.57,130050545.2,435526596.76
Pessoa com Deficiência e Mobilidade Reduzida,12880416.78,9625292.42,4510865.2,17994844.00
Direitos Humanos e Cidadania ,62565981.90,36643930.25,30124861.57,69085050.58
Gestão,255285901.27,161598477.41,110045808.4,306838570.32
Relações Internacionais e Federativas ,8379549.77,4272859.89,4383367.22,8269042.44
Políticas para as Mulheres,14017915.36,9596626.42,3984219.12,19630322.66
Verde e do Meio Ambiente,156735642.25,87362049.57,62633147.85,181464543.97
Esportes Lazer e Recreação,246247524.83,149654725.37,83457180.41,312445069.79
Coordenação das Subprefeituras,370261180.51,250885221.96,55949593.2,565196809.27
Secretaria do Governo Municipal,381617390.14,145787270.08,196387156.3,331017503.93
Promoção da Igualdade Racial ,11926635.71,7268921.72,2237892.55,16957664.88
Desenvolvimento Trabalho e Empreendedorismo ,112227085.42,68704813.98,-489974.91,181421874.31
Comunicação e Informação Social,25625780.39,11703020.27,3636000.66,33692800.00
Relações Governamentais,23641236.21,13674704.18,-7586310.61,44902251.00
Habitação,268225364.65,159675468.94,-399309992.3,827210825.91
Infra-Estrutura Urbana e Obras,1209071944.36,246611339.26,-75709096.99,1531392380.61
