pais,ano,refugiados
1,2010,248
2,2010,1
3,2010,18
4,2010,37
5,2010,15
6,2010,5
7,2010,49
8,2010,22
9,2010,1
10,2010,19
11,2010,126
1,2011,251
2,2011,16
3,2011,81
4,2011,107
5,2011,34
6,2011,13
7,2011,96
8,2011,64
9,2011,4
10,2011,110
11,2011,296
1,2012,432
2,2012,150
3,2012,90
4,2012,283
5,2012,271
6,2012,66
7,2012,162
8,2012,57
9,2012,22
10,2012,157
11,2012,391
1,2013,1026
2,2013,285
3,2013,195
4,2013,1841
5,2013,1381
6,2013,209
7,2013,219
8,2013,110
9,2013,324
10,2013,208
11,2013,193
1,2014,2473
2,2014,1406
3,2014,1700
4,2014,332
5,2014,1750
6,2014,1150
7,2014,508
8,2014,408
9,2014,593
10,2014,313
11,2014,131
1,2015,4036
2,2015,573
3,2015,332
4,2015,288
5,2015,219
6,2015,195
7,2015,195
8,2015,180
9,2015,162
10,2015,10
11,2015,6
