Question,1,2,3,4,5,N
Transportes,119609065.9,0.00,2371103400.83,0.00,2256103277.52,2490712466.70
Assistência e Desenvolvimento Social,13437322.74,0.00,149156882.12,0.00,126670001.96,162594204.86
Educação,1124573317,0.00,8874853703.24,0.00,7300289072.88,9999427020.29
Negócios Jurídicos,38369429.97,0.00,176154029.03,0.00,156585919.55,214523459.00
Segurança Urbana,15061525.97,0.00,458242328.06,0.00,320581326.65,473303854.03
Licenciamento,14602036.66,0.00,55804156.34,0.00,45278434.52,70406193.00
Cultura,70347986.12,0.00,336127655.25,0.00,252639222.77,406475641.37
Serviços,8990919.38,0.00,50484347.22,0.00,33387056.10,59475266.60
Desenvolvimento Urbano,148596796.4,0.00,1188166230.43,0.00,749199852.28,1336763026.84
Finanças e Desenvolvimento Econômico ,104055239.3,0.00,331471357.43,0.00,234105784.57,435526596.76
Pessoa com Deficiência e Mobilidade Reduzida,5114427.22,0.00,12880416.78,0.00,9625292.42,17994844.00
Direitos Humanos e Cidadania ,6519068.68,0.00,62565981.90,0.00,36643930.25,69085050.58
Gestão,51552669.05,0.00,255285901.27,0.00,161598477.41,306838570.32
Relações Internacionais e Federativas ,-110507.33,0.00,8379549.77,0.00,4272859.89,8269042.44
Políticas para as Mulheres,5612407.3,0.00,14017915.36,0.00,9596626.42,19630322.66
Verde e do Meio Ambiente,24728901.72,0.00,156735642.25,0.00,87362049.57,181464543.97
Esportes Lazer e Recreação,66197544.96,0.00,246247524.83,0.00,149654725.37,312445069.79
Coordenação das Subprefeituras,194935628.8,0.00,370261180.51,0.00,250885221.96,565196809.27
Secretaria do Governo Municipal,-50599886.21,0.00,381617390.14,0.00,145787270.08,331017503.93
Promoção da Igualdade Racial ,5031029.17,0.00,11926635.71,0.00,7268921.72,16957664.88
Desenvolvimento Trabalho e Empreendedorismo ,69194788.89,0.00,112227085.42,0.00,68704813.98,181421874.31
Comunicação e Informação Social,8067019.61,0.00,25625780.39,0.00,11703020.27,33692800.00
Relações Governamentais,21261014.79,0.00,23641236.21,0.00,13674704.18,44902251.00
Habitação,558985461.3,0.00,268225364.65,0.00,159675468.94,827210825.91
Infra-Estrutura Urbana e Obras,322320436.3,0.00,1209071944.36,0.00,246611339.26,1531392380.61
