name,handle,link,script,followers,numbers
Davide Mancini,davidewop,https://twitter.com/davidewop,Followers,162,162
Thiago Medaglia,thiagomedaglia,https://twitter.com/thiagomedaglia,Followers,300,300
Sergio Spagnuolo,ProjetoStock,https://twitter.com/ProjetoStock,Followers,401,401
Caroline Shin,carolineshin,https://twitter.com/carolineshin,Followers,410,410
Stephen Jefferson,bloomfornews,https://twitter.com/bloomfornews,Followers,92,92
Ghazala Irshad,ghazalairshad,https://twitter.com/ghazalairshad,Followers,24.2,24200
HR Venkatesh,hrvenkatesh,https://twitter.com/hrvenkatesh,Followers,2240,2240
Peter Fray,PeterFray,https://twitter.com/PeterFray,Followers,2571,2571
Katsunao Ishii,k_ishii,https://twitter.com/k_ishii,Followers,1077,1077
Emrys Eller,JohnEmrysEller,https://twitter.com/JohnEmrysEller,Followers,253,253
Issa Mansaray,IssaMPN,https://twitter.com/IssaMPN,Followers,202,202
Victoria Schneider,vic_schneider,https://twitter.com/vic_schneider,Followers,470,470
Reed Dunlea,RealDeedRunlea,https://twitter.com/RealDeedRunlea,Followers,848,848
Luz Mely Reyes,LuzMelyReyes,https://twitter.com/LuzMelyReyes,Followers,70.3,70300
Carolina Astuya,CaroAstuya,https://twitter.com/CaroAstuya,Followers,1484,1484
Fungai Machirori,fungaijustbeing,https://twitter.com/fungaijustbeing,Followers,8959,8959
Nicola Menzie,namenzie,https://twitter.com/namenzie,Followers,2546,2546
Madly,callmemadly,https://twitter.com/callmemadly,Followers,1498,1498
Ligia Guimaraes,laigous,https://twitter.com/laigous,Followers,273,273
