UF,1,2,3,4,5,N
Pernambuco,0,29,874,17,0,920
Paraíba,0,19,322,30,0,371
Bahia,0,0,316,0,0,316
Rio Grande do Norte,0,35,101,4,0,140
Sergipe,0,51,33,34,0,118
Alagoas,0,0,107,0,0,107
Ceará,1,0,79,0,0,80
Mato Grosso,0,0,72,0,0,72
Maranhão,0,0,56,7,0,63
Rio de Janeiro,0,0,57,0,2,59
Tocantins,0,0,43,7,0,50
Piauí,0,0,39,0,0,39
Minas Gerais,0,0,33,2,0,35
Espírito Santo,0,0,14,0,0,14
São Paulo,0,0,6,0,0,6
Goiás,0,0,4,1,0,5
Mato Grosso do Sul,0,0,3,0,0,3
Pará,0,0,3,0,0,3
Distrito Federal,0,0,2,0,0,2
Rio Grande do Sul,0,0,1,0,0,1
