desmat_bruto,temp_bruto,desmat_model,temp_model
97.29,28.2,97.2915,26.4759
95.36,27.9,94.8592,26.474
93.93,27.4,92.4269,26.464
73.62,27.1,89.9946,26.464
72.65,27.2,87.5623,26.464
67.94,27.7,85.13,26.4599
61.48,26.4,82.6978,26.4525
58.1,26.9,80.2655,26.4523
56.47,25.7,77.8332,26.4499
54.93,25,75.4009,26.4447
52.58,24.8,72.9686,26.4407
52.48,29.1,70.5363,26.4412
50.83,25,68.104,26.4421
50.23,28.03,65.6717,26.4115
46.71,26.03,63.2395,26.3528
41.32,24.2,60.8072,26.3079
38.42,24.5,58.3749,26.2914
38.09,27.36,55.9426,26.1472
36.84,29.2,53.5103,26.0961
36.52,25.5,51.078,26.1037
34.27,25.7,48.6457,26.0867
30.65,26.4,46.2134,25.988
30.59,26.3,43.7812,25.8043
28.11,24.6,41.3489,25.7839
27.21,27.4,38.9166,25.8134
27.19,23.7,36.4843,25.7848
25.23,24.6,34.052,25.7634
25.17,26.3,31.6197,25.6847
23.38,24.66,29.1874,25.5337
22.92,23.9,26.7552,25.2369
21.76,25.6,24.3229,25.2064
19.75,24.2,21.8906,25.1541
17.46,24.98,19.4583,25.1454
17.12,25.1,17.026,25.1707
16.83,25.74,14.5937,25.1371
13.17,24.6,12.1614,25.1093
9.81,24.3,9.7291,25.1079
9.68,24.6,7.2969,25.109
2.76,24.7,4.8646,25.1126
2.3,24.5,2.4323,25.1108
2.03,26.1,0,25.0712
2,24.6,,
0.91,24.4,,
0.71,24.4,,
0.64,24.7,,
0.48,24.4,,
0.35,24.5,,
0.09,24.6,,
0,24.2,,
0,24.3,,
0,24.6,,
