pecuária,lavoura-pecuária,soja,culturas mistas,alimentos básicos,culturas especiais,outros animais
1910.1308,285.8016,1993.8428,-11513.6122,3183.6,10760,100.5991441
583.0458,5955,1765.5858,2728.2162,862.0184,1508.5714,129.2686567
369.1804,1124.6452,2748.6906,2013,739.5692,2559.3488,871.7123596
238.5964,944.7272,2073.3134,2210.482,1492.9656,964.2296,13.08679245
-53.4594,695.413,272.1,2027.031,1816,8880,129.8
206.4774,1107.6,1901.68,1148,82101.6,3120,212.5285714
137.2434,1653.7674,1629.522,1855.1112,1933.6,8772.6316,63.60736196
1007.0918,288.4782,3683.455,4895.4216,6370,3560,186.5454545
1677.8286,2466.3158,2624.6494,2198.058,1185.6,4400,58.87058824
298.262,1050,1387.264,2586.5928,1440,18804.4,39.52941176
268.8,2225.1656,1545,838.986,2226.4,2029.7142,164.7874016
258.8434,-968.891,1800.3636,312,1786,1572.4138,61.11627907
2910.4616,1996.2858,1415.721,484,2368,1738.2514,155.1
-122.6092,2141,1096.48,4481.7298,845.6,3072,10.11729323
303.0476,-202.016,417.9,1158.4,1010.909,1485.6666,414.3
7.7804,-2338.817,2009.2,21138.9474,2530.2804,3739.0344,225.1636364
173.5792,2132.5,4231.7188,1652.52,2207.7818,,126.2526316
32.9542,589.5626,2137.9856,204.842,-46.9514,10320,538.6666667
84.7058,567.119,1881.3862,1934.4,8448.8888,5376,76.32727273
425.8286,241.1076,3397.2408,-1907.6572,115.9206,4193.3334,243.3391304
-127.8182,-1328.6666,2072.9866,-1542.4,-11577.6,398.813,149.5384615
53.6786,6851.7648,,-168285.3334,1014.6666,34914,310.7692308
2207.7272,309.2308,,515.077,859,1578.6666,
34.7826,-917.0118,,-1481.8868,8480,1222.6356,
172.1208,12.2948,,5472,1498,33789.6,
1184.8302,1391.292,,2596,3403,2759.4376,
222.7914,928.196,,-31.872,2512,300.1632,
20.4018,1423.6904,,2218.5,2390,,
1803.9184,840.5774,,2240,3052.8,,
46.7748,1306.9416,,3304,2880.8888,,
304.2078,389.5652,,3947.1112,3172,,
304,991.1062,,973.4012,1499.2,,
376.534,51.3278,,1814.876,4566.9566,,
1390.529,,,1844.582,-1162.6666,,
-110.2114,,,5406.6666,1682.6666,,
310.1702,,,3366.5882,29.1652,,
8721.4974,,,8338.6666,7501.1578,,
928,,,1120,12,,
205.9354,,,4070,6168.8,,
212.538,,,4765.7142,2087.3642,,
4574.876,,,20826.6666,7071.5556,,
307,,,16400,7325.3334,,
1083.2262,,,1748.677,1271.66,,
1387.575,,,1687.92,-161.4546,,
882,,,2480.52,1760,,
242.64,,,529.1384,1103.1,,
103.5708,,,872,7494.1936,,
741.48,,,105329.5694,2668,,
794.6086,,,,1248,,
1503.4064,,,,4331.7,,
517.2414,,,,1052.8,,
155.775,,,,1131.2,,
290.4,,,,-3261.6,,
11734.0248,,,,14752,,
303,,,,14373.6,,
86.1856,,,,1640,,
2348.753,,,,3676,,
208.9814,,,,7346.6666,,
105.3802,,,,6524,,
1068.42,,,,1488.8,,
-44.8616,,,,4418.8222,,
31.322,,,,1414.8,,
164.1158,,,,5613.12,,
273.161,,,,3696.6,,
1044.9836,,,,4480,,
-176.3798,,,,3840,,
150.6894,,,,3466.8,,
510.88,,,,2480,,
4028.9882,,,,5236,,
216.9432,,,,3117.6,,
444.8728,,,,5160,,
110.069,,,,7072.8,,
106.2172,,,,5629.2,,
406.5378,,,,819.6,,
-324.06,,,,6129.6,,
719.144,,,,6981.6,,
323.167,,,,4812,,
1042.3168,,,,544.9566,,
974.6842,,,,5696.6666,,
439.178,,,,5747.4358,,
161.28,,,,2760,,
67,,,,6315,,
625.3714,,,,2236.923,,
-216.1438,,,,3497.1428,,
1222.64,,,,3290.4,,
451.0102,,,,3307.2,,
-205.824,,,,3019.92,,
248.932,,,,2000.4,,
207.5166,,,,4695,,
140.7382,,,,2068.5714,,
0,,,,5440,,
2621.9574,,,,2760,,
-946.1326,,,,4388.5714,,
510.3922,,,,31488,,
2787.192,,,,5270,,
217.9626,,,,2688,,
1484,,,,2240,,
2029.3214,,,,358.011,,
-18697.0154,,,,8580,,
-383.6406,,,,3648,,
1632,,,,5470,,
-120.9056,,,,2093.3334,,
274.5454,,,,-32.3508,,
1552.6154,,,,258.4616,,
469.4162,,,,29128,,
41.3414,,,,844.2352,,
2213.3334,,,,4040,,
48.1774,,,,1440,,
351.7154,,,,1165.7142,,
255.1034,,,,1031.4286,,
63.4008,,,,3162.8572,,
1907.78,,,,3893.3334,,
642.1334,,,,1408,,
597.112,,,,2190,,
249.6,,,,2990,,
-10357.44,,,,2626.6666,,
202.1052,,,,2380,,
49.185,,,,3380,,
250.3324,,,,1461.3334,,
-190.4762,,,,2600,,
953.9064,,,,5460,,
421.922,,,,19208,,
213.66,,,,2688,,
121,,,,1120,,
757.3426,,,,3240,,
953.0722,,,,426.6666,,
528.4148,,,,4480,,
421.9196,,,,1294.0704,,
1620.5178,,,,4480,,
,,,,744.8,,
,,,,5120,,
,,,,689.3334,,
